sub_department,Topic,Frequency
Chemische Wetenschappen,161,1
Exacte en Natuurwetenschappen,82,1
Exacte en Natuurwetenschappen,86,2
Exacte en Natuurwetenschappen,94,9
Exacte en Natuurwetenschappen,219,4
Geesteswetenschappen,86,4
Kennis- en innovatieconvenant,94,3
Maatschappij- en Gedragswetenschappen,38,3
Maatschappij- en Gedragswetenschappen,82,1
Maatschappij- en Gedragswetenschappen,86,8
NWO-breed,82,1
Nationaal Regieorgaan Onderwijsonderzoek,86,1
Nationaal Regieorgaan Onderwijsonderzoek,94,2
Nationaal Regieorgaan Praktijkgericht Onderzoek,38,48
Nationaal Regieorgaan Praktijkgericht Onderzoek,82,21
Nationaal Regieorgaan Praktijkgericht Onderzoek,86,30
Nationaal Regieorgaan Praktijkgericht Onderzoek,94,8
Nationaal Regieorgaan Praktijkgericht Onderzoek,161,42
Nationaal Regieorgaan Praktijkgericht Onderzoek,219,6
Nationale Wetenschapsagenda,38,9
Nationale Wetenschapsagenda,82,2
Nationale Wetenschapsagenda,86,3
Nationale Wetenschapsagenda,94,10
Nationale Wetenschapsagenda,161,3
Nationale Wetenschapsagenda,219,2
Regieorgaan Open Science,94,1
Regieorgaan Open Science,219,2
Sociale en Geesteswetenschappen,38,4
Sociale en Geesteswetenschappen,82,9
Sociale en Geesteswetenschappen,86,24
Sociale en Geesteswetenschappen,94,20
Sociale en Geesteswetenschappen,161,1
Sociale en Geesteswetenschappen,219,7
Technologiestichting STW,38,1
Technologiestichting STW,82,1
Toegepaste en Technische Wetenschappen,82,2
Toegepaste en Technische Wetenschappen,86,1
Toegepaste en Technische Wetenschappen,94,1
Toegepaste en Technische Wetenschappen,161,1
Toegepaste en Technische Wetenschappen,219,1
WOTRO Science for Global Development,38,3
WOTRO Science for Global Development,86,3
WOTRO Science for Global Development,94,1
ZonMw (domein),94,2
