department,Topic,Frequency
,38,57
,86,33
,161,45
,230,35
,246,28
,254,22
Exacte en Natuurwetenschappen,86,2
Exacte en Natuurwetenschappen,161,1
Exacte en Natuurwetenschappen,246,1
Sociale en Geesteswetenschappen,38,10
Sociale en Geesteswetenschappen,86,40
Sociale en Geesteswetenschappen,161,1
Sociale en Geesteswetenschappen,246,4
Sociale en Geesteswetenschappen,254,5
Toegepaste en Technische Wetenschappen,38,1
Toegepaste en Technische Wetenschappen,86,1
Toegepaste en Technische Wetenschappen,161,1
