funding_scheme,Frequency,Funding Scheme
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 1,10,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 1
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 6,7,KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 6
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2020 Circulaire Economie 2020 - batch 2,7,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2020 Circulaire Economie 2020 - batch 2
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 5,6,KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 5
KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 1,6,KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 1
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2021-2022 KIEM-Circulaire Economie 2021-2022 - Batch 1,5,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2021-2022 KIEM-Circulaire Economie 2021-2022 - Batch 1
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 3,5,KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 3
KIEM Maatschappelijk Verdienvermogen (MV) KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM MV 2024 - Batch 1,5,KIEM Maatschappelijk Verdienvermogen (MV) KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM MV 2024 - Batch 1
KIEM KIEM 2021 KIEM 2021 KIEM 2021 - Batch 1,5,KIEM KIEM 2021 KIEM 2021 KIEM 2021 - Batch 1
KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 2,5,KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 2
Duurzame Businessmodellen 2014 MaGW,4,Duurzame Businessmodellen 2014 MaGW
RAAK-publiek RAAK-publiek november 2022,4,RAAK-publiek RAAK-publiek november 2022
RAAK-mkb RAAK-mkb september 2023,4,RAAK-mkb RAAK-mkb september 2023
KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 2,4,KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 2
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire economie 2023,4,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire economie 2023
Take-off hbo Take-off 2020-8 SIA,4,Take-off hbo Take-off 2020-8 SIA
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 2,4,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 2
KIEM GoCI KIEM GoCI 2020-2023 KIEM GoCI 2020-2021 KIEM GoCI 2020-2021 - Batch 2,4,KIEM GoCI KIEM GoCI 2020-2023 KIEM GoCI 2020-2021 KIEM GoCI 2020-2021 - Batch 2
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 6,4,KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 6
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2018 Circulaire Economie - Batch 2,3,KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2018 Circulaire Economie - Batch 2
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2024 KIEM GoChem 2024 - Batch 1,3,KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2024 KIEM GoChem 2024 - Batch 1
KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 1,3,KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 1
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 3,3,KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 3
NWA L4 - Matchmakingsbijeenkomsten - NWA MB NWA MB verwerkingsronde 2019,3,NWA L4 - Matchmakingsbijeenkomsten - NWA MB NWA MB verwerkingsronde 2019
RAAK-mkb RAAK-mkb maart 2019,3,RAAK-mkb RAAK-mkb maart 2019
RAAK-mkb RAAK-mkb september 2020,3,RAAK-mkb RAAK-mkb september 2020
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 4,3,KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 4
Hbo-postdoc Hbo-postdoc 2018-2022 indieningsronde 2 najaar volledige aanvraag,3,Hbo-postdoc Hbo-postdoc 2018-2022 indieningsronde 2 najaar volledige aanvraag
SGW Open Competitie XS Pilot 2022-2023 ronde 3,3,SGW Open Competitie XS Pilot 2022-2023 ronde 3
SPRONG 2020 SPRONG 2020-2029 SPRONG ronde 1,3,SPRONG 2020 SPRONG 2020-2029 SPRONG ronde 1
Creatieve industrie - Kennis Innovatie Mapping (KIEM) 2013 - 2017 NWO KIEM 2016 Creatieve Industrie voor WO Creatieve industrie - Kennis Innovatie Mapping,3,Creatieve industrie - Kennis Innovatie Mapping (KIEM) 2013 - 2017 NWO KIEM 2016 Creatieve Industrie voor WO Creatieve industrie - Kennis Innovatie Mapping
