funding_scheme,Frequency,Funding Scheme
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 1,10,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 6,7,KIEM
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2020 Circulaire Economie 2020 - batch 2,7,KIEM
KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 1,6,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 5,6,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 3,5,KIEM
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2021-2022 KIEM-Circulaire Economie 2021-2022 - Batch 1,5,KIEM
KIEM KIEM 2019 KIEM-hbo Themavrij KIEM-hbo 2019 KIEM-hbo 2019 Themavrij - Batch 2,5,KIEM
KIEM KIEM 2021 KIEM 2021 KIEM 2021 - Batch 1,5,KIEM
KIEM Maatschappelijk Verdienvermogen (MV) KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM Maatschappelijk Verdienvermogen (MV) 2024 KIEM MV 2024 - Batch 1,5,KIEM
KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 2,4,KIEM
Duurzame Businessmodellen 2014 MaGW,4,Duur
RAAK-publiek RAAK-publiek november 2022,4,RAAK
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 6,4,KIEM
KIEM GoCI KIEM GoCI 2020-2023 KIEM GoCI 2020-2021 KIEM GoCI 2020-2021 - Batch 2,4,KIEM
Take-off hbo Take-off 2020-8 SIA,4,Take
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire economie 2023,4,KIEM
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2019 Circulaire Economie 2019 - Batch 2,4,KIEM
RAAK-mkb RAAK-mkb september 2023,4,RAAK
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 4,3,KIEM
SGW Open Competitie XS Pilot 2022-2023 ronde 3,3,SGW 
KIEM KIEM 2020 KIEM 2020 KIEM 2020 - Batch 1,3,KIEM
KIEM 2015-2017 VANG KIEM-VANG - 2017-2 SIA KIEM-VANG - 2017-2 SIA - Batch 3,3,KIEM
RAAK-mkb RAAK-mkb september 2020,3,RAAK
SPRONG 2020 SPRONG 2020-2029 SPRONG ronde 1,3,SPRO
RAAK-mkb RAAK-mkb maart 2019,3,RAAK
Creatieve industrie - Kennis Innovatie Mapping (KIEM) 2013 - 2017 NWO KIEM 2016 Creatieve Industrie voor WO Creatieve industrie - Kennis Innovatie Mapping,3,Crea
KIEM KIEM 2018-2024 Circulaire economie KIEM-Circulaire Economie 2018 Circulaire Economie - Batch 2,3,KIEM
KIEM GoChem KIEM GoChem 2019-2024 KIEM GoChem 2024 KIEM GoChem 2024 - Batch 1,3,KIEM
Hbo-postdoc Hbo-postdoc 2018-2022 indieningsronde 2 najaar volledige aanvraag,3,Hbo-
NWA L4 - Matchmakingsbijeenkomsten - NWA MB NWA MB verwerkingsronde 2019,3,NWA 
RAAK-mkb RAAK-mkb maart 2017,2,RAAK
KIC - MISSIE Circulariteit 2020,2,KIC 
Science Diplomacy Fund Embassy Science Fellows Embassy Science Fellows 2023,2,Scie
Take-off hbo Take-off 2022-13 SIA,2,Take
KIEM 2015-2017 VANG KIEM-VANG - 2015-1 SIA KIEM-VANG - 2015-1 SIA - Batch 5,2,KIEM
Topsector Logistiek 2018 - 2021 Accelerator Accelerator 2019,2,Tops
Duurzame Businessmodellen II - DBM II - 2017,2,Duur
